,player_age,correct
54131,20.0,1
9056,31.0,0
31883,34.0,1
23307,34.0,0
47111,20.0,1
38006,38.0,1
52004,27.0,1
5786,35.0,1
17924,34.0,0
57960,32.0,1
52177,37.0,0
45477,33.0,1
9988,33.0,1
8987,26.0,0
56205,38.0,1
17195,38.0,1
2538,31.0,0
18508,37.0,0
50294,34.0,0
15084,27.0,0
33565,34.0,1
62801,29.0,1
8393,39.0,0
2034,28.0,1
8715,27.0,1
61156,34.0,0
64031,31.0,0
19494,29.0,1
7967,32.0,1
13585,31.0,1
57019,34.0,0
42618,27.0,0
57376,39.0,1
5192,28.0,1
157,27.0,0
20268,30.0,1
62127,32.0,1
30486,25.0,1
28804,34.0,0
56957,31.0,0
48965,26.0,1
60905,25.0,1
59732,26.0,1
19265,38.0,0
34954,29.0,0
28048,35.0,0
34232,24.0,1
58981,37.0,1
63550,31.0,0
25098,32.0,0
62370,35.0,1
29231,34.0,0
43903,33.0,1
59492,35.0,1
17161,33.0,1
55549,22.0,1
3769,33.0,0
16262,30.0,1
32053,40.0,1
31490,37.0,1
21003,23.0,1
33600,28.0,1
29543,36.0,1
10648,39.0,0
31351,36.0,1
21720,27.0,0
61587,24.0,1
14009,32.0,0
9950,35.0,0
30935,37.0,1
56372,37.0,1
7002,21.0,1
47242,36.0,1
58265,30.0,1
27785,23.0,1
22528,28.0,1
43655,37.0,1
23440,30.0,1
11830,33.0,1
16217,27.0,1
48981,24.0,1
28614,27.0,1
2149,27.0,1
43443,28.0,1
6762,34.0,0
8954,27.0,1
23735,30.0,0
20933,22.0,1
