id,name,age,number,position,photo,team_id
207,I. Perišić,34,14.0,Midfielder,https://media-3.api-sports.io/football/players/207.png,47
19032,R. Sessegnon,23,19.0,Midfielder,https://media-3.api-sports.io/football/players/19032.png,47
30435,D. Kulusevski,23,21.0,Midfielder,https://media-2.api-sports.io/football/players/30435.png,47
237129,P. Sarr,21,29.0,Midfielder,https://media-3.api-sports.io/football/players/237129.png,47
863,R. Bentancur,26,30.0,Midfielder,https://media-3.api-sports.io/football/players/863.png,47
18968,Y. Bissouma,27,38.0,Midfielder,https://media-3.api-sports.io/football/players/18968.png,47
273757,A. Devine,19,45.0,Midfielder,https://media-2.api-sports.io/football/players/273757.png,47
284414,R. Mundle,20,55.0,Midfielder,https://media-3.api-sports.io/football/players/284414.png,47
284418,K. Cesay,21,,Midfielder,https://media-2.api-sports.io/football/players/284418.png,47
284415,Yago Santiago,20,,Midfielder,https://media-2.api-sports.io/football/players/284415.png,47
162150,N. John,20,,Midfielder,https://media-1.api-sports.io/football/players/162150.png,47
162148,M. Robson,21,,Midfielder,https://media-1.api-sports.io/football/players/162148.png,47
186,Son Heung-Min,31,7.0,Attacker,https://media-3.api-sports.io/football/players/186.png,47
2413,Richarlison,26,9.0,Attacker,https://media-1.api-sports.io/football/players/2413.png,47
184,H. Kane,30,10.0,Attacker,https://media-1.api-sports.io/football/players/184.png,47
83,A. Danjuma,26,16.0,Attacker,https://media-1.api-sports.io/football/players/83.png,47
178,Lucas Moura,31,27.0,Attacker,https://media-2.api-sports.io/football/players/178.png,47
293163,J. Donley,18,,Attacker,https://media-3.api-sports.io/football/players/293163.png,47
393195,W. Lankshear,18,,Attacker,https://media-1.api-sports.io/football/players/393195.png,47
2997,Ł. Fabiański,38,1.0,Goalkeeper,https://media-2.api-sports.io/football/players/2997.png,48
253,A. Aréola,30,13.0,Goalkeeper,https://media-3.api-sports.io/football/players/253.png,48
144723,K. Hegyi,21,47.0,Goalkeeper,https://media-2.api-sports.io/football/players/144723.png,48
144709,J. Anang,23,49.0,Goalkeeper,https://media-3.api-sports.io/football/players/144709.png,48
18823,B. Johnson,23,2.0,Defender,https://media-1.api-sports.io/football/players/18823.png,48
18813,A. Cresswell,34,3.0,Defender,https://media-2.api-sports.io/football/players/18813.png,48
2726,K. Zouma,29,4.0,Defender,https://media-2.api-sports.io/football/players/2726.png,48
1231,V. Coufal,31,5.0,Defender,https://media-1.api-sports.io/football/players/1231.png,48
18817,A. Ogbonna,35,21.0,Defender,https://media-1.api-sports.io/football/players/18817.png,48
261,T. Kehrer,27,24.0,Defender,https://media-1.api-sports.io/football/players/261.png,48
21694,N. Aguerd,27,27.0,Defender,https://media-2.api-sports.io/football/players/21694.png,48
2284,Emerson,29,33.0,Defender,https://media-1.api-sports.io/football/players/2284.png,48
288116,K. Casey,19,70.0,Defender,https://media-1.api-sports.io/football/players/288116.png,48
171059,J. Baptiste,20,75.0,Defender,https://media-1.api-sports.io/football/players/171059.png,48
288125,R. Clayton,19,,Defender,https://media-2.api-sports.io/football/players/288125.png,48
284419,M. Forbes,19,,Defender,https://media-1.api-sports.io/football/players/284419.png,48
284060,L. Laing,20,,Defender,https://media-3.api-sports.io/football/players/284060.png,48
288279,Luizão,21,,Defender,https://media-1.api-sports.io/football/players/288279.png,48
